name,site_link,운동대상,체력항목,운동형태,운동부위,시설 필요유무
웨이트 트레이닝 루틴프로그램,/entry.naver?docId=3535306&categoryId=58501&cid=58501,청소년,근력/근지구력,웨이트기계,전신/가슴/상체/하체,Y
맨몸운동 루틴프로그램,/entry.naver?docId=3535307&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,전신/가슴/상체/하체,N
앉았다 일어서며 팔 들어올리기,/entry.naver?docId=3535308&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,어깨측면/허벅지앞쪽,Y
런지하며 상체 비틀기,/entry.naver?docId=3535309&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,어깨측면/허벅지앞쪽,Y
팔 들어 올리며 런지,/entry.naver?docId=3535310&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,어깨뒤쪽/어깨측면/허벅지앞쪽,Y
한 발 뒤로 들어올리기,/entry.naver?docId=3535311&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,어깨측면/둔부/허벅지뒤쪽,Y
다리 감아올리기,/entry.naver?docId=3535312&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,복부,Y
상체 감아올리기,/entry.naver?docId=3535313&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,복부,Y
발에 밴드걸고 윗몸일으키기,/entry.naver?docId=3535314&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,복부,Y
옆으로 굽히기,/entry.naver?docId=3535315&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,등/몸통,Y
한 발 끌어당기기,/entry.naver?docId=3535316&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,허벅지내측,Y
한 발 들어올리기,/entry.naver?docId=3535317&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,허벅지외측,Y
앉아서 무릎 굽히기,/entry.naver?docId=3535318&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,허벅지뒤쪽,Y
앉아서 다리 올리기,/entry.naver?docId=3535319&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,허벅지앞쪽,Y
뒤로 팔 뻗기,/entry.naver?docId=3535320&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,어깨뒤쪽,Y
양팔 크게 벌리기,/entry.naver?docId=3535321&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,어깨측면/등,Y
팔꿈치 고정 후 벌리기,/entry.naver?docId=3535322&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,어깨측면/위팔앞쪽,Y
앉았다 일어서기,/entry.naver?docId=3535323&categoryId=58501&cid=58501,청소년,근력/근지구력,프리웨이트,복부/허리/허벅지앞쪽,Y
앉아서 몸통 움츠리기,/entry.naver?docId=3535324&categoryId=58501&cid=58501,청소년,근력/근지구력,웨이트기계,복부,Y
몸통 옆으로 굽히기,/entry.naver?docId=3535325&categoryId=58501&cid=58501,청소년,근력/근지구력,프리웨이트,몸통,Y
앉아서 다리 펴기,/entry.naver?docId=3535326&categoryId=58501&cid=58501,청소년,근력/근지구력,웨이트기계,허벅지앞쪽,Y
누워서 다리 굽히기,/entry.naver?docId=3535327&categoryId=58501&cid=58501,청소년,근력/근지구력,웨이트기계,허벅지뒤쪽,Y
다리 넓게 벌려 앉았다 일어서기,/entry.naver?docId=3535328&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,허벅지내측,N
앉아서 당겨 내리기,/entry.naver?docId=3535329&categoryId=58501&cid=58501,청소년,근력/근지구력,웨이트기계,어깨측면/등,Y
앉아서 양팔 당기기,/entry.naver?docId=3535330&categoryId=58501&cid=58501,청소년,근력/근지구력,웨이트기계,등,Y
앉아서 가슴 모으기,/entry.naver?docId=3535331&categoryId=58501&cid=58501,청소년,근력/근지구력,웨이트기계,위팔앞쪽/가슴,Y
누워서 팔 밀기,/entry.naver?docId=3535332&categoryId=58501&cid=58501,청소년,근력/근지구력,웨이트기계,어깨측면/가슴,Y
크런치 사이클,/entry.naver?docId=3535333&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,복부/몸통/허벅지앞쪽,N
버피 테스트,/entry.naver?docId=3535334&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,어깨측면/복부/허벅지앞쪽,N
발 바꿔 뛰기,/entry.naver?docId=3535335&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,어깨측면/복부/허벅지앞쪽,N
몸통 들어올리기,/entry.naver?docId=3535336&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,복부/둔부/허벅지뒤쪽,N
팔다리 교차 버티기,/entry.naver?docId=3535337&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,어깨측면/허리/둔부,N
엎드려 팔다리 교차올리기,/entry.naver?docId=3535338&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,허리/둔부,N
연속 사이드 스쿼트,/entry.naver?docId=3535339&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,허리/허벅지앞쪽,N
앞굽이 앉았다 일어서기,/entry.naver?docId=3535340&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,둔부/허벅지앞쪽,N
앉았다 일어서기,/entry.naver?docId=3535341&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,허리/허벅지앞쪽,N
다리 뻗어 올리기,/entry.naver?docId=3535342&categoryId=58501&cid=58501,청소년,근력/근지구력,벤치,허벅지앞쪽,Y
누워 무릎 기울기,/entry.naver?docId=3535343&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,복부/몸통,N
